person id,first name,last name,racial category,education level,income level,email,phone number,pair id,address 1,voicemail responses 1,voicemail timestamp 1,voicemail minutes 1,text responses 1,text timestamp 1,unavailable responses 1,unavailable timestamp 1,address 2,voicemail responses 2,voicemail timestamp 2,voicemail minutes 2,text responses 2,text timestamp 2,unavailable responses 2,unavailable timestamp 2,address 3,voicemail responses 3,voicemail timestamp 3,voicemail minutes 3,text responses 3,text timestamp 3,unavailable responses 3,unavailable timestamp 3,address 4,voicemail responses 4,voicemail timestamp 4,voicemail minutes 4,text responses 4,text timestamp 4,unavailable responses 4,unavailable timestamp 4,address 5,voicemail responses 5,voicemail timestamp 5,voicemail minutes 5,text responses 5,text timestamp 5,unavailable responses 5,unavailable timestamp 5,undeterminable
1,Jalen,Jackson,male,black,high,jalenj166,3477081038,0,"(306 E White St, https://www.trulia.com/rental/4007407856-306-E-White-St-Champaign-IL-61820)", , , , , , , ,"(509 E Stoughton St, https://www.trulia.com/rental/4038949923-509-E-Stoughton-St-Champaign-IL-61820)", , , , , , , ,"(57 E Springfield Ave #SINGLE ROOM, https://www.trulia.com/rental/3227865893-57-E-Springfield-Ave-SINGLE-ROOM-Champaign-IL-61820)", , , , , , , ,"(806 S 3rd St, https://www.trulia.com/rental/3213973228-806-S-3rd-St-Champaign-IL-61820)", , , , , , , ,"(717 Dover Pl, https://www.trulia.com/rental/4007521859-717-Dover-Pl-Champaign-IL-61820)", , , , , , , , 
2,Lamar,Williams,male,black,medium,lamarw1668,3477546436,0, , , , , , , , ,"(1656 Valley Rd, https://www.trulia.com/rental/4039566725-1656-Valley-Rd-Champaign-IL-61820)", , , , , , , ,"(1815 Valley Rd #D, https://www.trulia.com/rental/4039190599-1815-Valley-Rd-D-Champaign-IL-61820)", , , , , , , ,"(105 S 4th St #101, https://www.trulia.com/rental/3193629837-105-S-4th-St-101-Champaign-IL-61820)", , , , , , , ,"(1001 N Walnut St, https://www.trulia.com/rental/3233741457-1001-N-Walnut-St-Champaign-IL-61820)", , , , , , , , 
3,DaQuan,Ronison,male,black,low,dqronison1445,3475715353,0, , , , , , , , ,"(2311 Melrose Dr, https://www.trulia.com/rental/4019243163-2311-Melrose-Dr-Champaign-IL-61820)", , , , , , , ,"(609 S Randolph St #111-A, https://www.trulia.com/rental/4036916236-609-S-Randolph-St-111-A-Champaign-IL-61820)", , , , , , , ,"(116 N Walnut St #202A, https://www.trulia.com/rental/4016703368-116-N-Walnut-St-202A-Champaign-IL-61820)", , , , , , , ,"(107 E Daniel St #203, https://www.trulia.com/rental/4000817633-107-E-Daniel-St-203-Champaign-IL-61820)", , , , , , , , 
4,Nia,Harris,female,black,high,niaharris56,3479974314,0, , , , , , , , ,"(nan, https://www.trulia.com/rental/4037422742-1118-Northwood-Dr-N-Champaign-IL-61821)", , , , , , , ,"(112 N Neil St, https://www.trulia.com/rental/4003396967-112-N-Neil-St-Champaign-IL-61820)", , , , , , , ,"(411 W Green St, https://www.trulia.com/rental/4039323216-411-W-Green-St-Champaign-IL-61820)", , , , , , , ,"(204 S 5th St #405, https://www.trulia.com/rental/4036916208-204-S-5th-St-405-Champaign-IL-61820)", , , , , , , , 
5,Ebony,James,female,black,medium,ebonyjames776,3479975026,0, , , , , , , , ,"(713 W Church St #1, https://www.trulia.com/rental/4039964848-713-W-Church-St-1-Champaign-IL-61820)", , , , , , , ,"(402 W Clark St, https://www.trulia.com/rental/3220753785-402-W-Clark-St-Champaign-IL-61820)", , , , , , , ,"(11 E Columbia Ave #204, https://www.trulia.com/rental/4040469495-11-E-Columbia-Ave-204-Champaign-IL-61820)", , , , , , , ,"(306 W Hill St #10, https://www.trulia.com/rental/3127606304-306-W-Hill-St-10-Champaign-IL-61820)", , , , , , , , 
6,Shanice,Thomas,female,black,low,shanicethomas086,3475715778,0, , , , , , , , ,"(901 S 4th St #301, https://www.trulia.com/rental/4036640406-901-S-4th-St-301-Champaign-IL-61820)", , , , , , , ,"(207 E John St, https://www.trulia.com/rental/3066612083-207-E-John-St-Champaign-IL-61820)", , , , , , , ,"(305 E White St #12, https://www.trulia.com/rental/3193652834-305-E-White-St-12-Champaign-IL-61820)", , , , , , , ,"(211 W Springfield Ave, https://www.trulia.com/rental/3220755755-211-W-Springfield-Ave-Champaign-IL-61820)", , , , , , , , 
7,Caleb,Peterson,male,white,high,calebpeterson0522,3474749277,1,"(306 E White St,  https://www.trulia.com/rental/4007407856-306-E-White-St-Champaign-IL-6182)", , , , , , , ,"(None, None)", , , , , , , ,"(None, None)", , , , , , , ,"(None, None)", , , , , , , ,"(717 Dover Pl,  https://www.trulia.com/rental/4007521859-717-Dover-Pl-Champaign-IL-6182)", , , , , , , , 
8,Charlie,Myers,male,white,medium,charliemyers274,3475667119,0,"(314 E White St #405, https://www.trulia.com/rental/4036613661-314-E-White-St-405-Champaign-IL-61820)", , , , , , , ,"(2408 Chiswick Dr #3, https://www.trulia.com/rental/3212501411-2408-Chiswick-Dr-3-Champaign-IL-61820)", , , , , , , ,"(703 W Park Ave, https://www.trulia.com/rental/3246601360-703-W-Park-Ave-Champaign-IL-61820)", , , , , , , ,"(404 E Clark St, https://www.trulia.com/rental/3213959077-404-E-Clark-St-Champaign-IL-61820)", , , , , , , ,"(605 S 4th St, https://www.trulia.com/rental/4005030711-605-S-4th-St-Champaign-IL-61820)", , , , , , , , 
9,Ronnie,Miller,male,white,low,rmiller5099,3473520703,0,"(208 W Washington St, https://www.trulia.com/rental/3138536129-208-W-Washington-St-Champaign-IL-61820)", , , , , , , ,"(212 W Washington St, https://www.trulia.com/rental/3216817943-212-W-Washington-St-Champaign-IL-61820)", , , , , , , ,"(506 S 4th St, https://www.trulia.com/rental/3213970922-506-S-4th-St-Champaign-IL-61820)", , , , , , , ,"(513 N Hickory St #210, https://www.trulia.com/rental/4040679176-513-N-Hickory-St-210-Champaign-IL-61820)", , , , , , , ,"(113 W Stanage Ave #1, https://www.trulia.com/rental/4011092658-113-W-Stanage-Ave-1-Champaign-IL-61820)", , , , , , , , 
10,Aubrey,Murphy,female,white,high,amurphy7116,3475097020,0,"(106 E Armory Ave #201, https://www.trulia.com/rental/4036417287-106-E-Armory-Ave-201-Champaign-IL-61820)", , , , , , , ,"(301 E Clark St, https://www.trulia.com/rental/3213973379-301-E-Clark-St-Champaign-IL-61820)", , , , , , , ,"(107 E Daniel St #102, https://www.trulia.com/rental/4035328258-107-E-Daniel-St-102-Champaign-IL-61820)", , , , , , , ,"(609 W Church St #31, https://www.trulia.com/rental/3097612430-609-W-Church-St-31-Champaign-IL-61820)", , , , , , , ,"(106 E Healey St #108, https://www.trulia.com/rental/3213972391-106-E-Healey-St-108-Champaign-IL-61820)", , , , , , , , 
11,Erica,Cox,female,white,medium,ecox3471,3479215063,0,"(1519 Hedge Rd, https://www.trulia.com/rental/4008074468-1519-Hedge-Rd-Champaign-IL-61821)", , , , , , , ,"(211 E Clark St #13, https://www.trulia.com/rental/4036932244-211-E-Clark-St-13-Champaign-IL-61820)", , , , , , , ,"(105 S 4th St #303, https://www.trulia.com/rental/4036665895-105-S-4th-St-303-Champaign-IL-61820)", , , , , , , ,"(607 W Healey St #611, https://www.trulia.com/rental/3220754143-607-W-Healey-St-611-Champaign-IL-61820)", , , , , , , ,"(111 E Chalmers St, https://www.trulia.com/rental/4007410216-111-E-Chalmers-St-Champaign-IL-61820)", , , , , , , , 
12,Leslie,Wood,female,white,low,woodleslie542,3473630468,0,"(906 S Oak St #7, https://www.trulia.com/rental/4036640424-906-S-Oak-St-7-Champaign-IL-61820)", , , , , , , ,"(303 E Green St, https://www.trulia.com/rental/3213956850-303-E-Green-St-Champaign-IL-61820)", , , , , , , ,"(211 E John St, https://www.trulia.com/rental/4038131052-211-E-John-St-Champaign-IL-61820)", , , , , , , ,"(2408 Chiswick Dr #3, https://www.trulia.com/rental/3212501411-2408-Chiswick-Dr-3-Champaign-IL-61820)", , , , , , , ,"(2006 Parkdale Dr, https://www.trulia.com/rental/3235705359-2006-Parkdale-Dr-Champaign-IL-61821)", , , , , , , , 
