first name,last name,racial category,education level,email,phone number,address 1,total responses 1,response timestamp 1,total voicemail minutes 1,address 2,total responses 2,response timestamp 2,total voicemail minutes 2,address 3,total responses 3,response timestamp 3,total voicemail minutes 3,address 4,total responses 4,response timestamp 4,total voicemail minutes 4,address 5,total responses 5,response timestamp 5,total voicemail minutes 5, 
Jalen,Jackson,black,high,jalenj166,3477081038,"(211 E John St, https://trulia.com/c/il//champaign/211-e-john-st-champaign-il-61820--1025043662)", , , ,"(309 W Stanage Ave, https://trulia.com/c/il//champaign/309-w-stanage-ave-champaign-il-61820--1043634122)", , , ,"(105 S 4th St #303, https://trulia.com/c/il//champaign/105-s-4th-st-303-champaign-il-61820--2337887006)", , , ,"(1703 W Union St, https://trulia.com/c/il//champaign/1703-w-union-st-champaign-il-61821--2345411797)", , , ,"(1305 W Columbia Ave, https://trulia.com/c/il//champaign/1305-w-columbia-ave-champaign-il-61821--1008080309)", , , ,
Lamar,Williams,black,medium,lamarw1668,3477546436,"(S Fair St and W Union St, https://trulia.com/c/il//champaign/address-not-disclosed-champaign-il-61821--2105195135)", , , ,"(58 1/2 E Green St, https://trulia.com/c/il//champaign/58-1-2-e-green-st-champaign-il-61820--1150636742)", , , ,"(406 W Clark St, https://trulia.com/c/il//champaign/406-w-clark-street-406-w-clark-st-champaign-il-61820--1004178215)",1,['2018-02-23 10:48:00'], ,"(501 W Springfield Ave, https://trulia.com/c/il//champaign/501-w-springfield-ave-champaign-il-61820--2105191539)",1, ['2018-02-22 19:49:00'], ,"(512 W Green St, https://trulia.com/c/il//champaign/512-w-green-st-champaign-il-61820--1004277594)", , , ,
DaQuan,Ronison,black,low,dqronison1445,3475715353,"(533 County Road 1600 N #30, https://trulia.com/c/il//champaign/533-county-road-1600-n-30-champaign-il-61822--2344605142)", , , ,"(1732 Valley Rd, https://trulia.com/c/il//champaign/1732-valley-rd-champaign-il-61820--1029278905)", , , ,"(601 W Springfield Ave #E, https://trulia.com/c/il//champaign/601-w-springfield-ave-e-champaign-il-61820--2343940019)", , , ,"(705 S 1st St, https://trulia.com/c/il//champaign/705-s-1st-street-705-s-1st-st-champaign-il-61820--1049741670)", , , ,"(301 E Clark St, https://trulia.com/c/il//champaign/301-e-clark-301-e-clark-st-champaign-il-61820--1049741858)", , , ,
Nia,Harris,black,high,niaharris56,3479974314,"(507 S 4th St, https://trulia.com/c/il//champaign/507-s-4th-507-s-4th-st-champaign-il-61820--1049741709)", , , ,"(501 W Green St #3, https://trulia.com/c/il//champaign/501-w-green-st-3-champaign-il-61820--2171838044)",1,['2018-02-26 13:55:00'], ,"(1005 N Prospect Ave, https://trulia.com/c/il//champaign/1005-n-prospect-ave-champaign-il-61820--1074830347)", , , ,"(3441 Stoneway Ct, https://trulia.com/c/il//champaign/3441-stoneway-ct-champaign-il-61822--2059026130)", , , ,"(310 S 1st St, https://trulia.com/c/il//champaign/310-s-1st-st-champaign-il-61820--2329834272)", , , ,
Ebony,James,black,medium,ebonyjames776,3479975026,"(308 E Clark St, https://trulia.com/c/il//champaign/308-e-clark-st-champaign-il-61820--1002303739)", , , ,"(1402 Sand Dollar Dr, https://trulia.com/c/il//champaign/1402-sand-dollar-dr-champaign-il-61822--1004878643)", , , ,"(802 S Duncan Rd, https://trulia.com/c/il//champaign/802-s-duncan-rd-champaign-il-61821--1078702211)",1,['2018-02-22 15:55:00'], ,"(901 S 4th St #303, https://trulia.com/c/il//champaign/901-s-4th-st-303-champaign-il-61820--2338134529)", , , ,"(309 W Hill St, https://trulia.com/c/il//champaign/309-w-hill-street-309-w-hill-st-champaign-il-61820--1004181013)",1,['2018-02-23 10:51:00'], ,
Shanice,Thomas,black,low,shanicethomas086,3475715778,"(605 S Elm St, https://trulia.com/c/il//champaign/605-s-elm-st-champaign-il-61820--1002154475)", , , ,"(202 E White St #13, https://trulia.com/c/il//champaign/202-e-white-st-13-champaign-il-61820--2324650734)", , , ,"(507 W Columbia Ave #2, https://trulia.com/c/il//champaign/507-w-columbia-ave-2-champaign-il-61820--2175453136)", , , ,"(609 W Church St #32, https://trulia.com/c/il//champaign/609-w-church-st-32-champaign-il-61820--2171845358)", , , ,"(2003 S Mattis Ave #C, https://trulia.com/c/il//champaign/2003-s-mattis-ave-c-champaign-il-61821--2184559034)", , , ,
Caleb,Peterson,white,high,calebpeterson0522,3474749277,"(1213 1/2 Paula Dr, https://trulia.com/c/il//champaign/1213-1-2-paula-dr-champaign-il-61821--2297480451)",1,['2018-02-22 16:23:00'], ,"(1101 N McKinley Ave, https://trulia.com/c/il//champaign/1101-n-mckinley-ave-champaign-il-61821--1002228367)",2,"['2018-02-22 15:58:00','2018-02-28 08:36:00']", ,"(3727 Boulder Ridge Dr, https://trulia.com/c/il//champaign/3727-boulder-ridge-dr-champaign-il-61822--1077404426)", , , ,"(605 S Elm St, https://trulia.com/c/il//champaign/605-s-elm-st-champaign-il-61820--1002154475)", , , ,"(1508 Holly Hill Dr, https://trulia.com/c/il//champaign/1508-holly-hill-dr-champaign-il-61821--2059016832)", , , ,
Charlie,Myers,white,medium,charliemyers274,3475667119,"(406 W Clark St, https://trulia.com/c/il//champaign/406-w-clark-street-406-w-clark-st-champaign-il-61820--1004178215)", , , ,"(804 N Neil St #209, https://trulia.com/c/il//champaign/804-n-neil-st-209-champaign-il-61820--2346612731)", , , ,"(909 W Daniel St, https://trulia.com/c/il//champaign/909-w-daniel-st-champaign-il-61821--1010351416)", , , ,"(613 W Hill St #1, https://trulia.com/c/il//champaign/613-w-hill-st-1-champaign-il-61820--2345947701)",3," ['2018-02-22 17:37:00','2018-02-22 17:54:00','2018-02-23 10:59:00']", ,"(509 E Green St, https://trulia.com/c/il//champaign/skyline-west-509-e-green-st-champaign-il-61820--1049742066)", , , ,
Ronnie,Miller,white,low,rmiller5099,3473520703,"(501 W Green St #3, https://trulia.com/c/il//champaign/501-w-green-st-3-champaign-il-61820--2171838044)",1,['2018-02-26 13:54:00'], ,"(501 Mitchell Ct, https://trulia.com/c/il//champaign/501-mitchell-ct-champaign-il-61821--2059020974)", , , ,"(1217 W Beardsley Ave, https://trulia.com/c/il//champaign/1217-w-beardsley-ave-champaign-il-61821--2105194471)",1,['2018-02-22 16:14:00'], ,"(407 S State St #16, https://trulia.com/c/il//champaign/407-s-state-st-16-champaign-il-61820--2183174203)", ,, ,"(116 N Walnut St #202A, https://trulia.com/c/il//champaign/116-n-walnut-st-202a-champaign-il-61820--2313440744)", , , ,
Aubrey,Murphy,white,high,amurphy7116,3475097020,"(204 E Clark St, https://trulia.com/c/il//champaign/204-e-clark-204-e-clark-st-champaign-il-61820--1002112406)", , , ,"(1723 Valley Rd #A, https://trulia.com/c/il//champaign/1723-valley-rd-a-champaign-il-61820--2345397397)",1,['2018-02-22 14:57:00'], ,"(1107 Scottsdale Dr, https://trulia.com/c/il//champaign/1107-scottsdale-dr-champaign-il-61821--2059015256)", , , ,"(105 S 4th St #303, https://trulia.com/c/il//champaign/105-s-4th-st-303-champaign-il-61820--2337887006)", , , ,"(410 E Park St, https://trulia.com/c/il//champaign/410-e-park-st-champaign-il-61820--2105191369)", , , ,
