person id,first name,last name,racial category,education level,income level,email,phone number,pair id,handled,timestamp 1,timestamp 2,timestamp 3,timestamp 4,timestamp 5,timestamp 6,timestamp 7,timestamp 8,timestamp 9,timestamp 10,timestamp 11,timestamp 12,address 1,total responses 1,response timestamp 1,total unavailable 1,unavailable timestamp 1,address 2,total responses 2,response timestamp 2,total unavailable 2,unavailable timestamp 2,address 3,total responses 3,response timestamp 3,total unavailable 3,unavailable timestamp 3,address 4,total responses 4,response timestamp 4,total unavailable 4,unavailable timestamp 4,address 5,total responses 5,response timestamp 5,total unavailable 5,unavailable timestamp 5,address 6,total responses 6,response timestamp 6,total unavailable 6,unavailable timestamp 6,address 7,total responses 7,response timestamp 7,total unavailable 7,unavailable timestamp 7,address 8,total responses 8,response timestamp 8,total unavailable 8,unavailable timestamp 8,address 9,total responses 9,response timestamp 9,total unavailable 9,unavailable timestamp 9,address 10,total responses 10,response timestamp 10,total unavailable 10,unavailable timestamp 10,address 11,total responses 11,response timestamp 11,total unavailable 11,unavailable timestamp 11,address 12,total responses 12,response timestamp 12,total unavailable 12,unavailable timestamp 12
1,Jalen,Jackson,male,black,high,jalenj166,3477081038,0,1,5/3/18 23:48, , , , , , , , , , , ,"(1242 South Barrington Avenue #O109, False, https://www.trulia.com/c/ca/los-angeles/1242-s-barrington-ave-o109-los-angeles-ca-90025--2115543047)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,Lamar,Williams,male,black,medium,lamarw1668,3477546436,0,1,5/3/18 23:58, , , , , , , , , , , ,"(2673 Cordelia Road, True, https://www.trulia.com/c/ca/los-angeles/2673-cordelia-rd-los-angeles-ca-90049--1001975377)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,DaQuan,Ronison,male,black,low,dqronison1445,3475715353,0,1,5/4/18 0:02, , , , , , , , , , , ,"(10506 Eastborne Avenue #206, True, https://www.trulia.com/c/ca/los-angeles/10506-eastborne-ave-206-los-angeles-ca-90024--2174236629)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,Nia,Harris,female,black,high,niaharris56,3479974314,0,1,2018-05-04 00:16:24, , , , , , , , , , , ,"(nan, False, https://www.trulia.com/c/ca/los-angeles/1984-park-grove-ave-202-los-angeles-ca-90007--2171706674)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,Ebony,James,female,black,medium,ebonyjames776,3479975026,0,1,2018-05-04 00:29:07, , , , , , , , , , , ,"(11336 Montana Avenue, True, https://www.trulia.com/c/ca/los-angeles/11336-montana-ave-los-angeles-ca-90049--1002005726)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,Shanice,Thomas,female,black,low,shanicethomas086,3475715778,0,0,5/4/18 0:12, , , , , , , , , , , ,"(1300 S Figueroa St, True, https://www.trulia.com/c/ca/los-angeles/city-lights-on-fig-1300-s-figueroa-st-los-angeles-ca-90015--2115494224)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,Caleb,Peterson,male,white,high,calebpeterson0522,3474749277,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,Charlie,Myers,male,white,medium,charliemyers274,3475667119,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,Ronnie,Miller,male,white,low,rmiller5099,3473520703,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10,Aubrey,Murphy,female,white,high,amurphy7116,3475097020,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11,Erica,Cox,female,white,medium,ecox3471,3479215063,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,Leslie,Wood,female,white,low,woodleslie542,3473630468,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
