person id,first name,last name,racial category,education level,income level,email,phone number,pair id,handled,timestamp 1,timestamp 2,timestamp 3,timestamp 4,timestamp 5,timestamp 6,timestamp 7,timestamp 8,timestamp 9,timestamp 10,timestamp 11,timestamp 12,address 1,total responses 1,response timestamp 1,total unavailable 1,unavailable timestamp 1
1,Jalen,Jackson,male,black,high,jalenj166,3477081038,0,12,4/26/18 13:15,4/26/18 13:26,4/26/18 13:35,4/26/18 13:45,4/26/18 13:51,4/26/18 14:00,4/26/18 14:06,4/26/18 14:18,4/26/18 14:29,4/26/18 14:44,4/26/18 14:58,4/26/18 15:24,"(2250 Fox Hills Drive #302, https://www.trulia.com/c/ca/los-angeles/2250-fox-hills-dr-302-los-angeles-ca-90064--2185613842)", , , , 
2,Lamar,Williams,male,black,medium,lamarw1668,3477546436,0,12,4/26/18 13:17,4/26/18 13:26,4/26/18 13:35,4/26/18 13:45,4/26/18 13:51,4/26/18 14:01,4/26/18 14:07,4/26/18 14:19,4/26/18 14:29,4/26/18 14:47,4/26/18 14:58, ,"(2673 Cordelia Road, https://www.trulia.com/c/ca/los-angeles/2673-cordelia-rd-los-angeles-ca-90049--1001975377)", , , , 
3,DaQuan,Ronison,male,black,low,dqronison1445,3475715353,0,12,4/26/18 13:19,4/26/18 13:27,4/26/18 13:36,4/26/18 13:45,4/26/18 13:51,4/26/18 14:01,4/26/18 14:10,4/26/18 14:21,4/26/18 14:30,4/26/18 14:50,4/26/18 14:59,4/26/18 15:46,"(5050 Maplewood Avenue #206, https://www.trulia.com/c/ca/los-angeles/5050-maplewood-ave-206-los-angeles-ca-90004--2077189759)", , , , 
4,Nia,Harris,female,black,high,niaharris56,3479974314,0,11,4/26/18 13:19,4/26/18 13:28,4/26/18 13:36,4/26/18 13:46,4/26/18 13:55,4/26/18 14:02,4/26/18 14:10,4/26/18 14:21,4/26/18 14:33,4/26/18 14:50,4/26/18 15:00, ,"(1300 Linda Flora Drive, https://www.trulia.com/c/ca/los-angeles/1300-linda-flora-dr-los-angeles-ca-90049--1001904678)", , , , 
5,Ebony,James,female,black,medium,ebonyjames776,3479975026,0,11,4/26/18 13:20,4/26/18 13:30,4/26/18 13:40,4/26/18 13:47,4/26/18 13:56,4/26/18 14:02,4/26/18 14:13,4/26/18 14:21,4/26/18 14:33,4/26/18 14:52,4/26/18 15:00, ,"(942 North Crescent Heights Boulevard, https://www.trulia.com/c/ca/los-angeles/942-n-crescent-heights-blvd-los-angeles-ca-90046--2115629973)", , , , 
6,Shanice,Thomas,female,black,low,shanicethomas086,3475715778,0,11,4/26/18 13:20,4/26/18 13:31,4/26/18 13:41,4/26/18 13:47,4/26/18 13:56,4/26/18 14:02,4/26/18 14:13,4/26/18 14:22,4/26/18 14:34,4/26/18 14:54,4/26/18 15:02, ,"(1759 Silver Lake Boulevard, https://www.trulia.com/c/ca/los-angeles/1759-silver-lake-blvd-los-angeles-ca-90026--1008323425)", , , , 
7,Caleb,Peterson,male,white,high,calebpeterson0522,3474749277,1,11,4/26/18 13:21,4/26/18 13:31,4/26/18 13:41,4/26/18 13:47,4/26/18 13:57,4/26/18 14:03,4/26/18 14:14,4/26/18 14:23,4/26/18 14:36,4/26/18 14:54,4/26/18 15:03, ,"(1455 Belfast Drive, https://www.trulia.com/c/ca/los-angeles/1455-belfast-dr-los-angeles-ca-90069--1045840211)", , , , 
8,Charlie,Myers,male,white,medium,charliemyers274,3475667119,0,11,4/26/18 13:22,4/26/18 13:32,4/26/18 13:42,4/26/18 13:48,4/26/18 13:58,4/26/18 14:03,4/26/18 14:14,4/26/18 14:23,4/26/18 14:37,4/26/18 14:55, , ,"(2673 Cordelia Road, https://www.trulia.com/c/ca/los-angeles/2673-cordelia-rd-los-angeles-ca-90049--1001975377)", , , , 
9,Ronnie,Miller,male,white,low,rmiller5099,3473520703,0,11,4/26/18 13:23,4/26/18 13:32,4/26/18 13:43,4/26/18 13:48,4/26/18 13:58,4/26/18 14:04,4/26/18 14:17,4/26/18 14:24,4/26/18 14:38,4/26/18 14:56,4/26/18 15:21, ,"(2673 Cordelia Road, https://www.trulia.com/c/ca/los-angeles/2673-cordelia-rd-los-angeles-ca-90049--1001975377)", , , , 
10,Aubrey,Murphy,female,white,high,amurphy7116,3475097020,0,11,4/26/18 13:24,4/26/18 13:33,4/26/18 13:44,4/26/18 13:49,4/26/18 13:58,4/26/18 14:05,4/26/18 14:17,4/26/18 14:26,4/26/18 14:41,4/26/18 14:57,4/26/18 15:22, ,"(1100 Casiano Road, https://www.trulia.com/c/ca/los-angeles/1100-casiano-rd-los-angeles-ca-90049--2077412237)", , , , 
11,Erica,Cox,female,white,medium,ecox3471,3479215063,0,11,4/26/18 13:25,4/26/18 13:34,4/26/18 13:44,4/26/18 13:49,4/26/18 13:59,4/26/18 14:05,4/26/18 14:18,4/26/18 14:28,4/26/18 14:43,4/26/18 14:57,4/26/18 15:23, ,"(2673 Cordelia Road, https://www.trulia.com/c/ca/los-angeles/2673-cordelia-rd-los-angeles-ca-90049--1001975377)", , , , 
12,Leslie,Wood,female,white,low,woodleslie542,3473630468,0,11,4/26/18 13:25,4/26/18 13:34,4/26/18 13:44,4/26/18 13:49,4/26/18 14:00,4/26/18 14:05,4/26/18 14:18,4/26/18 14:28,4/26/18 14:43,4/26/18 14:58,4/26/18 15:24, ,"(942 North Crescent Heights Boulevard, https://www.trulia.com/c/ca/los-angeles/942-n-crescent-heights-blvd-los-angeles-ca-90046--2115629973)", , , , 
