person id,first name,last name,gender,racial category,education level,email,phone number,pair id
1,Jalen,Jackson,male,black,high,jalenj166,,0
2,Lamar,Williams,male,black,medium,lamarw1668,,0
3,DaQuan,Ronison,male,black,low,dqronison1445,,0
4,Nia,Harris,female,black,high,niaharris56,,0
5,Ebony,James,female,black,medium,ebonyjames776,,0
6,Shanice,Thomas,female,black,low,shanicethomas086,,0
7,Caleb,Peterson,male,white,high,calebpeterson0522,,1
8,Charlie,Myers,male,white,medium,charliemyers274,,0
9,Ronnie,Miller,male,white,low,rmiller5099,,0
10,Aubrey,Murphy,female,white,high,amurphy7116,,0
11,Erica,Cox,female,white,medium,ecox3471,,0
12,Leslie,Wood,female,white,low,woodleslie542,,0
13,Jorge,Rodriguez,male,hispanic,high,rodgriguezjorge45,,0
14,Pedro,Sanchez,male,hispanic,medium,psanchez7045,,0
15,Luis,Torres,male,hispanic,low,luistorres2866,,0
16,Isabella,Lopez,female,hispanic,high,isabellalopez6576,,0
17,Mariana,Morales,female,hispanic,medium,moralesmariana9054,,0
18,Jimena,Ramirez,female,hispanic,low,jramirez7561,,0
