Address,City,State,Zip_Code,Rent_Per_Month,Year,Days_on_Trulia,Type,Sqft,Phone_Number,Bedroom_min,Bedroom_max,Bathroom_min,Bathroom_max,Assault,Arrest,Theft,Vandalism,Burglary,Crime_Other,Elementary_School_Count,Elementary_School_Avg_Score,Middle_School_Count,Middle_School_Avg_Score,High_School_Count,High_School_Avg_Score,Driving,Transit,Walking,Cycling,Restaurant,Groceries,Nightlife,Cafe,Shopping,Entertainment,Beauty,Active_life,Latitude,Longitude,EPA_Region,Population,Input_area.sq..miles.,Particulate_Matter,Ozone,NATA._Diesel_PM,NATA._Air_Toxics_Cancer_Risk,NATA._Respiratory_Hazard_Index,Traffic_Proximity_and_Volume,Lead_Paint_Indicator,Superfund_Proximity,RMP_Proximity,Hazardous_Waste_Proximity,Wastewater_Discharge_Indicator,Demographic_Index.,Minority_Population.,Low_Income_Population.,Linguistically_Isolated_Population.,Population_with_Less_Than_High_School_Education.,Population_under_Age_5.,Population_over_Age_64.,URL,rent_max,rent_min,Sqft_max,Sqft_min,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,person id,people_name_selection/person_name,gender,racial category,education level,address_selection/property,timestamp inquiry sent out
8308 Yuma Place,Los Angeles,CA,90046,"$5,000",1961.0,16,Single-Family Home,"1,510",(310) 388-7932,3,3,2.0,2.0,73.0,,558.0,,95.0,,1.0,10.0,1.0,3.0,2.0,6.0,88.0,6.0,0.0,4.0,89.0,8.0,43.0,18.0,128.0,34.0,218.0,46.0,34.106305,-118.372815,9,18419,3.14,12.0,40.8,1.62,58,3.2,2000.0,0.53,0.1,0.43,0.091,0.046,21,21,21,5,3,3,12,https://www.trulia.com/c/ca/los-angeles/8308-yuma-pl-los-angeles-ca-90046--1139583282,,5000.0,,1510.0,6.0,37.0,194200.0,1001.0,60371942001001.0,Block 1001,G5040,U,51445.0,U,S,462181.0,0.0,34.1078493,-118.3755376,1,Jalen Jackson,male,black,high,8308 Yuma Place,5/23/18 13:35
237 1/2 East Century Boulevard,Los Angeles,CA,90003,"$2,200",,18,Multi-Family,"1,000",(310) 926-9992,3,3,2.0,2.0,222.0,2.0,577.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,80.0,18.0,0.0,0.0,51.0,15.0,4.0,6.0,40.0,2.0,22.0,5.0,33.945656,-118.27036499999998,9,56195,3.14,12.6,37.1,2.04,54,3.9,4100.0,0.64,0.12,0.34,0.19,0.29,85,99,70,15,47,10,7,https://www.trulia.com/c/ca/los-angeles/237-1-2-e-century-blvd-los-angeles-ca-90003--2352328656,,2200.0,,1000.0,6.0,37.0,240600.0,4004.0,60372406004004.0,Block 4004,G5040,U,51445.0,U,S,20253.0,0.0,33.9460407,-118.2706076,2,Lamar Williams,male,black,medium,237 1/2 East Century Boulevard,5/23/18 13:36
1744 Warnall Avenue,Los Angeles,CA,90024,"$5,500",1937.0,10,Single-Family Home,"1,682",(310) 777-7800,3,3,2.0,2.0,3.0,,177.0,,42.0,,1.0,9.0,1.0,5.0,1.0,6.0,82.0,3.0,0.0,12.0,146.0,4.0,37.0,33.0,304.0,45.0,320.0,54.0,34.060002000000004,-118.421736,9,33161,3.14,11.9,40.3,1.6,61,3.5,1800.0,0.39,0.062,0.24,0.083,0.01,23,27,19,9,4,4,24,https://www.trulia.com/c/ca/los-angeles/1744-warnall-ave-los-angeles-ca-90024--1001724372,,5500.0,,1682.0,6.0,37.0,265700.0,2005.0,60372657002005.0,Block 2005,G5040,U,51445.0,U,S,19961.0,0.0,34.0605595,-118.4214953,3,DaQuan Ronison,male,black,low,1744 Warnall Avenue,5/23/18 13:38
1717 Walgrove Avenue,Los Angeles,CA,90066,"$5,400",1952.0,18,Single-Family Home,"1,450",(310) 977-6600,3,3,2.0,2.0,48.0,3.0,315.0,,,,1.0,2.0,1.0,3.0,1.0,6.0,89.0,7.0,0.0,1.0,120.0,10.0,9.0,28.0,182.0,45.0,149.0,145.0,34.00473,-118.452116,9,27785,3.14,11.6,39.8,1.61,54,3.5,1200.0,0.65,0.046,0.21,0.12,8.5,29,37,21,3,7,7,14,https://www.trulia.com/c/ca/los-angeles/1717-walgrove-ave-los-angeles-ca-90066--1003806364,,5400.0,,1450.0,6.0,37.0,273100.0,2002.0,60372731002002.0,Block 2002,G5040,U,51445.0,U,S,37389.0,0.0,34.004070500000005,-118.4535352,4,Nia Harris,female,black,high,1717 Walgrove Avenue,5/23/18 13:39
2046 South Sherbourne Drive #4,Los Angeles,CA,90034,"$2,950",,46,Multi-Family,"1,200",(213) 840-7970,3,3,2.0,2.0,217.0,,1219.0,,291.0,,1.0,4.0,1.0,3.0,1.0,6.0,89.0,7.0,0.0,2.0,139.0,14.0,15.0,38.0,360.0,29.0,82.0,82.0,34.040042,-118.38287,9,34722,3.14,12.2,39.5,1.96,62,3.7,4500.0,0.66,0.07,0.17,0.11,130.0,44,56,31,7,14,5,13,https://www.trulia.com/c/ca/los-angeles/2046-s-sherbourne-dr-4-los-angeles-ca-90034--2343643269,,2950.0,,1200.0,6.0,37.0,269601.0,1002.0,60372696011002.0,Block 1002,G5040,U,51445.0,U,S,20618.0,0.0,34.0404651,-118.3821441,5,Ebony James,female,black,medium,2046 South Sherbourne Drive #4,5/23/18 13:41
1488 Rising Glen Road,Los Angeles,CA,90069,"$8,900",,22,Single-Family Home,"1,748",(310) 717-7018,3,3,2.0,2.0,75.0,,563.0,,100.0,,1.0,10.0,1.0,3.0,2.0,6.0,88.0,4.0,0.0,5.0,171.0,7.0,93.0,34.0,256.0,67.0,322.0,84.0,34.098446,-118.383921,9,23841,3.14,12.0,40.7,1.77,62,3.5,2400.0,0.43,0.092,0.26,0.084,0.00023,22,25,20,4,4,2,14,https://www.trulia.com/c/ca/los-angeles/1488-rising-glen-rd-los-angeles-ca-90069--2077483493,,8900.0,,1748.0,6.0,37.0,194300.0,2001.0,60371943002001.0,Block 2001,G5040,U,51445.0,U,S,834481.0,0.0,34.1024268,-118.3863027,6,Shanice Thomas,female,black,low,1488 Rising Glen Road,5/23/18 13:43
880 West 1st Street #213,Los Angeles,CA,90012,"$3,700",1982.0,10,Multi-Family,"1,512",(213) 629-2530,3,3,2.0,2.0,396.0,2.0,1773.0,,,,1.0,6.0,0.0,0.0,1.0,5.0,73.0,13.0,0.0,9.0,885.0,62.0,252.0,205.0,2307.0,242.0,301.0,139.0,34.057406,-118.25146,9,65074,3.14,12.5,38.4,2.77,80,4.6,5900.0,0.5,0.17,2.4,0.39,0.6,72,82,61,27,31,5,12,https://www.trulia.com/c/ca/los-angeles/880-w-1st-st-213-los-angeles-ca-90012--2115486323,,3700.0,,1512.0,6.0,37.0,207501.0,1004.0,60372075011004.0,Block 1004,G5040,U,51445.0,U,S,39806.0,0.0,34.056450500000004,-118.2514498,7,Caleb Peterson,male,white,high,880 West 1st Street #213,5/23/18 13:44
2724 W Avenue 32 #32,Los Angeles,CA,90065,"$3,600",,4,Multi-Family,"1,200",(510) 859-3177,3,3,2.0,2.0,5.0,,38.0,,8.0,,1.0,2.0,1.0,6.0,1.0,6.0,85.0,11.0,0.0,1.0,62.0,10.0,10.0,11.0,113.0,21.0,34.0,60.0,34.111735,-118.239814,9,27835,3.14,12.0,40.1,2.06,56,2.9,3100.0,0.62,1.0,1.1,0.82,3.0,66,84,47,18,30,6,11,https://www.trulia.com/c/ca/los-angeles/2724-w-avenue-32-32-los-angeles-ca-90065--2115683951,,3600.0,,1200.0,6.0,37.0,186403.0,2006.0,60371864032006.0,Block 2006,G5040,U,51445.0,U,S,40778.0,0.0,34.111244,-118.2400568,8,Charlie Myers,male,white,medium,2724 W Avenue 32 #32,5/23/18 13:46
217 South Martel Avenue,Los Angeles,CA,90036,"$3,950",1934.0,20,Multi-Family,"3,423",(213) 700-7676,3,3,2.0,2.0,5.0,,95.0,,23.0,,1.0,8.0,1.0,7.0,1.0,6.0,88.0,3.0,0.0,3.0,289.0,19.0,68.0,97.0,890.0,151.0,393.0,144.0,34.070489,-118.351116,9,43318,3.14,12.2,39.8,1.5,64,3.5,1900.0,0.69,0.099,0.2,0.099,24.0,30,35,25,9,3,5,11,https://www.trulia.com/c/ca/los-angeles/217-s-martel-ave-los-angeles-ca-90036--2115575716,,3950.0,,3423.0,6.0,37.0,214000.0,2005.0,60372140002005.0,Block 2005,G5040,U,51445.0,U,S,40516.0,0.0,34.071797600000004,-118.351634,9,Ronnie Miller,male,white,low,217 South Martel Avenue,5/23/18 13:47
167 North Gardner Street,Los Angeles,CA,90036,"$6,199",1927.0,31,Single-Family Home,"1,812",(323) 337-2410,3,3,2.0,2.0,6.0,,108.0,,17.0,,1.0,8.0,1.0,7.0,1.0,6.0,88.0,3.0,0.0,3.0,300.0,28.0,83.0,97.0,1037.0,168.0,502.0,178.0,34.075497,-118.353254,9,47585,3.14,12.2,39.9,1.52,63,3.5,1600.0,0.68,0.099,0.24,0.1,16.0,29,32,27,10,4,5,12,https://www.trulia.com/c/ca/los-angeles/167-n-gardner-st-los-angeles-ca-90036--2115575410,,6199.0,,1812.0,6.0,37.0,214501.0,2000.0,60372145012000.0,Block 2000,G5040,U,51445.0,U,S,179875.0,0.0,34.073348200000005,-118.3547656,10,Aubrey Murphy,female,white,high,167 North Gardner Street,5/23/18 13:48
